State,Population
.Alabama,"4,841,799"
.Alaska,"736,283"
.Arizona,"6,730,413"
.Arkansas,"2,967,392"
.California,"38,596,972"
.Colorado,"5,350,101"
.Connecticut,"3,594,524"
.Delaware,"932,487"
.District of Columbia,"662,328"
.Florida,"19,845,911"
.Georgia,"10,067,278"
.Hawaii,"1,414,538"
.Idaho,"1,631,112"
.Illinois,"12,884,493"
.Indiana,"6,593,644"
.Iowa,"3,109,350"
.Kansas,"2,900,475"
.Kentucky,"4,414,349"
.Louisiana,"4,644,013"
.Maine,"1,330,513"
.Maryland,"5,957,283"
.Massachusetts,"6,762,596"
.Michigan,"9,929,848"
.Minnesota,"5,451,079"
.Mississippi,"2,990,468"
.Missouri,"6,056,202"
.Montana,"1,021,869"
.Nebraska,"1,879,321"
.Nevada,"2,817,628"
.New Hampshire,"1,333,341"
.New Jersey,"8,864,525"
.New Mexico,"2,089,568"
.New York,"19,651,049"
.North Carolina,"9,932,887"
.North Dakota,"737,401"
.Ohio,"11,602,700"
.Oklahoma,"3,878,187"
.Oregon,"3,963,244"
.Pennsylvania,"12,788,313"
.Rhode Island,"1,055,936"
.South Carolina,"4,823,617"
.South Dakota,"849,129"
.Tennessee,"6,541,223"
.Texas,"26,964,333"
.Utah,"2,936,879"
.Vermont,"625,214"
.Virginia,"8,310,993"
.Washington,"7,054,655"
.West Virginia,"1,849,489"
.Wisconsin,"5,751,525"
.Wyoming,"582,531"
,
Puerto Rico,"3,534,874"
