State,Very_Important,Somewhat_Important,Not_Too_Important,Not_At_All_Important,Don't_know,Sample_Size
Alabama,77,13,6,4,1,511
Alaska,41,29,13,16,1,310
Arizona,51,24,13,11,1,653
Arkansas,70,16,7,5,1,311
California,47,26,13,14,1,"3,697"
Colorado,47,28,12,13,1,504
Connecticut,42,27,17,14,1,377
Delaware,46,31,10,11,1,301
District of Columbia,50,21,14,14,1,303
Florida,53,25,11,11,1,"2,020"
Georgia,64,20,7,8,1,968
Hawaii,44,32,13,10,1,312
Idaho,51,25,12,13,1,320
Illinois,50,27,13,10,1,"1,326"
Indiana,53,25,11,10,1,654
Iowa,53,26,11,9,1,330
Kansas,50,29,14,7,1,307
Kentucky,63,23,7,7,1,439
Louisiana,71,19,4,6,1,465
Maine,34,29,15,21,1,303
Maryland,50,25,12,12,1,644
Massachusetts,33,30,16,20,1,704
Michigan,50,27,11,11,1,982
Minnesota,46,28,13,13,1,563
Mississippi,74,15,6,4,1,309
Missouri,56,26,10,7,1,642
Montana,44,25,15,15,1,312
Nebraska,54,25,12,8,1,312
Nevada,44,29,10,16,1,314
New Hampshire,33,27,23,15,1,303
New Jersey,50,28,11,9,1,886
New Mexico,59,20,6,13,1,312
New York,45,27,12,15,1,"1,966"
North Carolina,62,22,8,8,1,"1,022"
North Dakota,53,23,15,9,1,338
Ohio,56,25,9,10,1,"1,132"
Oklahoma,64,23,4,8,1,391
Oregon,45,25,12,17,1,419
Pennsylvania,51,26,12,11,1,"1,366"
Rhode Island,48,25,10,18,1,305
South Carolina,69,16,8,6,1,495
South Dakota,57,24,9,9,1,305
Tennessee,71,18,5,6,1,661
Texas,63,23,7,8,1,"2,535"
Utah,58,15,14,11,2,315
Vermont,32,25,21,22,1,306
Virginia,60,21,10,8,1,882
Washington,44,23,17,16,1,714
West Virginia,64,22,7,5,2,309
Wisconsin,44,31,12,12,1,600
Wyoming,49,28,13,9,1,316
